1585855909367482,0,1,0.056250,-0.500000,
1585855909438174,0,1,0.056250,-0.500000,
1585855909473506,0,1,0.056250,-0.500000,
1585855909508824,0,1,0.056250,-0.500000,
1585855909544156,0,1,0.056250,-0.500000,
1585855909579487,1585855909615007,1,0.056250,-0.500000,
1585855909614820,1585855909650098,1,0.056250,-0.500000,
1585855909650154,1585855909685188,1,0.056250,-0.500000,
1585855909685492,1585855909725292,1,0.056250,-0.500000,
1585855909720820,1585855909760382,1,0.056250,-0.500000,
1585855909756154,1585855909795473,1,0.056250,-0.500000,
1585855909791487,1585855909825550,1,0.056250,-0.500000,
1585855909826828,1585855909865654,1,0.056250,-0.500000,
1585855909862154,1585855909900728,1,0.056250,-0.500000,
1585855909897496,1585855909935819,1,0.056250,-0.500000,
1585855909932820,1585855909970909,1,0.056250,-0.500000,
1585855909968162,1585855910006000,1,0.056250,-0.500000,
1585855910003488,1585855910041090,1,0.056250,-0.500000,
1585855910038821,1585855910076181,1,0.056250,-0.500000,
1585855910074154,1585855910111271,1,0.056250,-0.500000,
1585855910109486,1585855910146362,1,0.056250,-0.500000,
1585855910144821,1585855910181452,1,0.056250,-0.500000,
1585855910180153,1585855910216543,1,0.056250,-0.500000,
1585855910215493,1585855910251633,1,0.056250,-0.500000,
1585855910250820,1585855910286724,1,0.056250,-0.500000,
1585855910286161,1585855910321814,1,0.056250,-0.500000,
1585855910321487,1585855910356905,1,0.056250,-0.500000,
1585855910356827,1585855910396997,1,0.056250,-0.500000,
1585855910392154,1585855910427075,1,0.056250,-0.500000,
1585855910427495,1585855910462165,1,0.056250,-0.500000,
1585855910462820,1585855910502268,1,0.056250,-0.500000,
1585855910498163,1585855910537359,1,0.056250,-0.500000,
1585855910533486,1585855910572450,1,0.056250,-0.500000,
1585855910568820,1585855910607540,1,0.056250,-0.500000,
1585855910604154,1585855910637618,1,0.056250,-0.500000,
1585855910639488,1585855910677721,1,0.056250,-0.500000,
1585855910674821,1585855910712812,1,0.056250,-0.500000,
1585855910710154,1585855910747902,1,0.056250,-0.500000,
1585855910745495,1585855910782993,1,0.056250,-0.500000,
1585855910780821,1585855910818084,1,0.056250,-0.500000,
1585855910816161,1585855910853174,1,0.056250,-0.500000,
1585855910851489,1585855910888265,1,0.056250,-0.500000,
1585855910886827,1585855910923410,1,0.056250,-0.500000,
1585855910922154,1585855910958501,1,0.056250,-0.500000,
1585855910957496,1585855910993591,1,0.056250,-0.500000,
1585855910992822,1585855911028682,1,0.056250,-0.500000,
1585855911028161,1585855911063773,1,0.056250,-0.500000,
1585855911063488,1585855911098863,1,0.056250,-0.500000,
1585855911098820,1585855911133954,1,0.056250,-0.500000,
1585855911134154,1585855911169044,1,0.056250,-0.500000,
1585855911168720,1585855911204135,1,0.056250,-0.500000,
1585855911204820,1585855911244238,1,0.056250,-0.500000,
1585855911240154,1585855911279329,1,0.056250,-0.500000,
1585855911275495,1585855911314420,1,0.056250,-0.500000,
1585855911310820,1585855911349510,1,0.056250,-0.500000,
1585855911346160,1585855911384601,1,0.056250,-0.500000,
1585855911381487,1585855911415051,1,0.056250,-0.500000,
1585855911416829,1585855911455156,1,0.056250,-0.500000,
1585855911452154,1585855911490245,1,0.056250,-0.500000,
1585855911487495,1585855911525337,1,0.056250,-0.500000,
1585855911522820,1585855911560426,1,0.056250,-0.500000,
1585855911558154,1585855911595517,1,0.056250,-0.500000,
1585855911593488,1585855911630609,1,0.056250,-0.500000,
1585855911628819,1585855911665698,1,0.056250,-0.500000,
1585855911664154,1585855911700789,1,0.056250,-0.500000,
1585855911699486,1585855911735880,1,0.056250,-0.500000,
1585855911734821,1585855911770971,1,0.056250,-0.500000,
1585855911770155,1585855911811073,1,0.056250,-0.500000,
1585855911805496,1585855911846164,1,0.056250,-0.500000,
1585855911840822,1585855911881255,1,0.056250,-0.500000,
1585855911876162,1585855911915891,1,0.056250,-0.500000,
1585855911911489,1585855911950982,1,0.056250,-0.500000,
1585855911946829,1585855911986073,1,0.056250,-0.500000,
1585855911982154,1585855912021163,1,0.056250,-0.500000,
1585855912017488,1585855912056254,1,0.056250,-0.500000,
1585855912052821,1585855912091343,1,0.056250,-0.500000,
1585855912088153,1585855912126435,1,0.056250,-0.500000,
1585855912123487,1585855912161526,1,0.056250,-0.500000,
1585855912158821,1585855912196616,1,0.056250,-0.500000,
1585855912194155,1585855912231706,1,0.056250,-0.500000,
1585855912229495,1585855912266797,1,0.056250,-0.500000,
1585855912264820,1585855912301888,1,0.056250,-0.500000,
1585855912300157,1585855912336979,1,0.056250,-0.500000,
1585855912335487,1585855912372069,1,0.056250,-0.500000,
1585855912370821,1585855912407144,1,0.056250,-0.500000,
1585855912406159,1585855912442234,1,0.056250,-0.500000,
1585855912441487,1585855912477325,1,0.056250,-0.500000,
1585855912476821,1585855912512416,1,0.056250,-0.500000,
1585855912512154,1585855912552519,1,0.056250,-0.500000,
1585855912547487,1585855912582597,1,0.056250,-0.500000,
1585855912582820,1585855912622700,1,0.056250,-0.500000,
1585855912618153,1585855912652778,1,0.056250,-0.500000,
1585855912653488,1585855912692882,1,0.056250,-0.500000,
1585855912688828,1585855912727972,1,0.056250,-0.500000,
1585855912724154,1585855912763063,1,0.056250,-0.500000,
1585855912759487,1585855912798153,1,0.056250,-0.500000,
1585855912794821,1585855912833244,1,0.056250,-0.500000,
1585855912830154,1585855912868335,1,0.056250,-0.500000,
1585855912865495,1585855912903419,1,0.056250,-0.500000,
1585855912900822,1585855912938509,1,0.056250,-0.500000,
