1581110905560468,0.000000,0.000000,0.000000,0.999835,0.001491,-0.018110,0.000093
1581110905565481,0.000000,0.000000,0.000000,0.999835,0.001462,-0.018093,0.000079
1581110905570493,0.000000,0.000000,0.000000,0.999828,0.002258,-0.018420,0.000114
1581110905575506,0.000005,-0.000001,0.000035,0.999828,0.002262,-0.018401,0.000111
1581110905580518,0.000004,-0.000002,0.000046,0.999828,0.002261,-0.018414,0.000114
1581110905585531,0.000005,-0.000002,0.000054,0.999828,0.002267,-0.018419,0.000106
1581110905590543,0.000012,-0.000003,0.000060,0.999828,0.002251,-0.018415,0.000091
1581110905595556,0.000017,-0.000003,0.000071,0.999828,0.002258,-0.018409,0.000089
1581110905600568,0.000023,-0.000004,0.000087,0.999828,0.002245,-0.018410,0.000084
1581110905605580,0.000022,-0.000007,0.000114,0.999828,0.002241,-0.018403,0.000090
1581110905610593,0.001824,0.000289,-0.000739,0.999833,0.002175,-0.018149,0.000084
1581110905615605,0.001970,0.000309,-0.000777,0.999833,0.002168,-0.018152,0.000099
1581110905620618,0.002126,0.000330,-0.000811,0.999833,0.002164,-0.018141,0.000094
1581110905625630,0.002276,0.000351,-0.000841,0.999833,0.002163,-0.018146,0.000103
1581110905630643,0.002429,0.000371,-0.000868,0.999833,0.002160,-0.018140,0.000104
1581110905635655,0.002580,0.000392,-0.000893,0.999833,0.002158,-0.018147,0.000099
1581110905640668,0.001369,0.000210,-0.000778,0.999947,0.001502,-0.010164,0.000081
1581110905645680,0.001404,0.000216,-0.000789,0.999947,0.001501,-0.010159,0.000099
1581110905650693,0.001437,0.000222,-0.000790,0.999947,0.001502,-0.010161,0.000105
1581110905655705,0.001469,0.000227,-0.000794,0.999947,0.001492,-0.010156,0.000104
1581110905660717,0.001500,0.000232,-0.000797,0.999947,0.001502,-0.010158,0.000115
1581110905665730,0.001530,0.000237,-0.000796,0.999947,0.001495,-0.010158,0.000109
1581110905670742,0.001541,0.000243,-0.000788,0.999947,0.001497,-0.010158,0.000115
1581110905675755,0.000837,0.000123,-0.000669,0.999991,0.000492,-0.004273,0.000080
1581110905680767,0.000779,0.000117,-0.000647,0.999991,0.000494,-0.004276,0.000071
1581110905685779,0.000708,0.000107,-0.000626,0.999991,0.000494,-0.004276,0.000074
1581110905690792,0.000634,0.000098,-0.000599,0.999991,0.000501,-0.004285,0.000072
1581110905695804,0.000554,0.000088,-0.000569,0.999991,0.000502,-0.004281,0.000075
